product_id,product_name,size_weight,unit,stock_quantity,purchase_price,selling_price,low_stock_limit,expiry_date,company_id,category_id
1,Pepsi (500ml),500ml,Bottle,77,489.95,609.71,28,2027-09-12,1,1
2,Pepsi (1L),1L,Bottle,189,311.17,398.32,28,2026-11-04,1,1
3,Pepsi (1.5L),1.5L,Bottle,109,227.95,262.4,24,2028-01-12,1,1
4,Pepsi (250ml Can),250ml Can,Bottle,191,271.14,345.61,24,2027-06-08,1,1
5,Mountain Dew (500ml),500ml,Bottle,287,457.13,568.84,14,2028-01-07,1,1
6,Mountain Dew (1L),1L,Bottle,121,433.6,503.53,20,2028-03-28,1,1
7,Mountain Dew (1.5L),1.5L,Bottle,214,128.06,152.29,28,2027-12-14,1,1
8,Mountain Dew (250ml Can),250ml Can,Bottle,249,354.84,424.9,24,2027-11-23,1,1
9,7UP (500ml),500ml,Bottle,140,629.89,768.3,23,2027-07-11,1,1
10,7UP (1L),1L,Bottle,119,440.74,488.37,12,2027-07-24,1,1
11,7UP (1.5L),1.5L,Bottle,170,355.15,445.05,12,2027-06-05,1,1
12,7UP (250ml Can),250ml Can,Bottle,167,765.71,970.35,17,2026-08-12,1,1
13,Sting (500ml),500ml,Bottle,102,261.85,304.33,12,2026-11-17,1,1
14,Sting (1L),1L,Bottle,50,241.52,307.93,11,2027-02-16,1,1
15,Sting (1.5L),1.5L,Bottle,220,668.82,790.91,11,2027-10-01,1,1
16,Sting (250ml Can),250ml Can,Bottle,208,181.62,203.73,28,2026-09-26,1,1
17,Mirinda (500ml),500ml,Bottle,258,678.44,860.62,16,2028-03-04,1,1
18,Mirinda (1L),1L,Bottle,190,347.88,391.54,21,2027-11-24,1,1
19,Mirinda (1.5L),1.5L,Bottle,79,221.78,262.76,22,2028-04-14,1,1
20,Mirinda (250ml Can),250ml Can,Bottle,288,573.1,711.43,17,2027-03-31,1,1
21,Aquafina Bottled Water (500ml),500ml,Bottle,176,694.04,886.03,24,2028-03-09,1,1
22,Aquafina Bottled Water (1.5L),1.5L,Bottle,110,553.02,668.09,29,2027-08-02,1,1
